Channel1,channel2,channel3,channel4,channel5,channel6,Label
86,93,71,71,76,57,left
84,92,72,72,73,54,left
82,91,71,73,69,53,left
81,90,70,73,66,54,left
79,87,69,73,65,55,left
76,86,68,73,62,58,left
75,85,68,75,60,60,left
73,84,68,76,58,61,left
71,83,68,77,56,61,left
69,82,67,78,55,59,left
67,81,68,78,54,59,left
65,79,66,79,52,56,left
63,77,66,81,50,53,left
62,76,67,80,50,52,left
60,75,65,81,48,51,left
60,73,64,80,48,51,left
58,71,65,80,48,50,left
56,69,64,78,47,49,left
55,68,63,78,47,48,left
54,65,63,78,46,48,left
53,64,63,78,46,46,left
51,64,62,77,46,46,left
49,63,63,78,45,47,left
50,61,62,78,46,46,left
48,58,61,77,45,46,left
47,57,60,78,44,45,left
46,55,60,77,45,45,left
46,54,60,78,45,46,left
46,52,60,78,45,45,left
46,51,60,77,46,45,left
47,51,60,76,46,44,left
47,51,60,78,46,44,left
47,49,59,77,47,44,left
48,48,57,78,48,44,left
48,48,57,78,47,44,left
48,48,56,78,49,44,left
50,49,56,79,49,44,left
51,49,55,79,50,44,left
51,48,54,79,50,43,left
52,50,52,80,51,44,left
53,50,52,80,52,44,left
54,49,52,80,53,45,left
56,50,51,79,53,44,left
57,51,50,80,54,45,left
59,51,48,80,55,46,left
61,52,49,80,55,46,left
62,52,48,80,56,46,left
63,54,48,81,56,45,left
65,53,47,80,57,47,left
65,54,46,80,56,48,left
66,55,46,80,57,47,left
67,56,47,80,57,47,left
68,58,47,80,58,48,left
70,58,47,79,57,48,left
70,58,46,80,57,49,left
70,60,47,79,59,50,left
71,61,48,81,59,50,left
72,61,47,79,58,52,left
73,62,48,78,59,53,left
73,64,48,78,58,54,left
73,65,50,78,59,55,left
74,65,50,77,59,55,left
75,66,50,77,58,56,left
76,68,52,77,59,58,left
77,69,53,77,60,60,left
76,69,54,75,61,60,left
77,70,55,75,61,60,left
77,72,56,74,61,61,left
78,73,56,75,61,62,left
78,74,58,74,61,64,left
78,74,59,74,61,63,left
79,76,60,73,61,64,left
78,76,60,72,61,65,left
78,78,61,72,61,65,left
80,78,63,73,61,67,left
80,79,64,73,62,65,left
81,80,65,72,62,67,left
82,80,66,72,63,67,left
83,81,66,70,64,68,left
84,83,67,71,63,69,left
85,82,67,70,64,70,left
86,85,67,69,65,70,left
86,84,68,69,65,71,left
87,85,69,69,66,71,left
88,85,68,68,65,71,left
88,86,70,69,67,72,left
89,85,71,68,66,72,left
89,86,72,67,67,75,left
53,50,52,80,52,44,left
54,49,52,80,53,45,left
56,50,51,79,53,44,left
57,51,50,80,54,45,left
59,51,48,80,55,46,left
61,52,49,80,55,46,left
62,52,48,80,56,46,left
63,54,48,81,56,45,left
65,53,47,80,57,47,left
65,54,46,80,56,48,left
66,55,46,80,57,47,left
67,56,47,80,57,47,left
90,86,71,67,67,75,right
90,86,72,66,67,76,right
91,86,72,66,67,75,right
92,87,72,65,68,77,right
92,88,72,65,68,77,right
94,88,72,64,68,77,right
94,88,73,64,68,79,right
93,90,72,64,68,80,right
94,89,72,63,68,81,right
95,90,72,64,69,80,right
95,89,72,63,70,82,right
96,91,72,62,70,85,right
96,92,73,62,69,86,right
